 District ADDRESS  VALUE   1   2   3   4    5    6    7    8    9
   1   63   67864   4   0   2  15   51   11    3    0   34
   1   64   55253   2   0   1  10   50    7   11    0   26
   1   65   50128   2   0   2  10   69    7   23    0   23
   1   66   58051   2   0   0   0    0    0    0    0    0
   1   67   77174   7   0   1  20  120   12   61    0   35
   1   68   49825   2   0   1   5   40    6   14    0   18
   1   69   56390   2   0   0   0    0    0    0    0    0
   1   70   63656   2   0   3  15   54    8    1    0   30
   1   71   74708   2   6   3  15  121   10   37   31   36
   1   72   70599   2   1   2  20  102   13   20   11   31
   1   73   82920   2   6   3  15  100    9   27   27   30
   1   74   46611   2   0   1  10   41    9   14    0   13
   1   75   72543   2   1   2  25  106   11   45   14   34
   1   76   35442   2   0   3   5   65    7   18    0   25
   1   77   70502   2   1   1  15  116    8   24   14   21
   1   78   69874   3   1   1  15  120    5   28    7   22
   1   79   96062   6   0   3  25  107   14   36    0   29
   1   80   54164   4   1   2  10  117    9   27   13   27
   1   81   71178   3   3   3  20  150    8   20   11   21
   1   82   63186   3   0   2  15   72   11   28    0   31
   1   83   57156   2   1   3  15   97   14   24   13   29
   1   84   61850   3   1   2  15   90    6   30   19   25
   1   85   55280   1   0   1  10   56    5   15    0   14
   1   86   49012   2   0   0   0    0    0    0    0    0
   1   87   52404   2   0   2  10   39    9    6    0   17
   1   88   50983   2   1   0   0    0    0    0    0    0
   1   89   78703   3   2   3  20  149   13   24   12   27
   1   90   52161   3   0   3  10   84    8   37    0   26
   1   91   61043   4   1   2  15  106   12   21    3   33
   1   92   57474   3   0   1  10   68   11   30    0   24
   1   93   62884   2   1   4  10   94    7   26   10   33
   1   94   58568   3   1   3  20  116   11   51   11   30
   1   95   62297   5   0   0   0    0    0    0    0    0
   1   96   61182   2   4   2  15  137   10   18   19   29
   1   97   54677   2   0   2  20   72   14   18    0   37
   1   98   77841   2   2   2  15   83   11   17   15   23
   1   99   75221   4   0   2  15   83   10   22    0   31
   1  100   72245   3   2   1  20  116   12   24   16   35
   1  101   64781   1   0   3   5   28    4    0    0   13
   1  102   47212   1   0   0   0    0    0    0    0    0
   1  103   75017   2   2   2  20  117   13   28    5   34
   1  104   45618   2   1   0   0    0    0    0    0    0
   1  105   44465   1   0   2   0   48    5    3    0   12
   1  106   67112   2   0   1  15  116    6   60    0   23
   1  107   91948   3   4   2  25  144    8   32   15   23
   1  108   42749   2   0   3   5   51    2   18    0   20
   1  109   64613   2   0   2   5   61    5   16    0   17
   1  110   77099   2   3   4  10   95    7   34   18   24
   1  111   82336   3   1   2  15   88   10    7   17   26
   1  112   69643   2   1   2  15  110    8   36   11   26
   1  113   55707   2   1   0   0    0    0    0    0    0
   1  114   83794   3   1   1  15  125    7   41   17   20
   1  115   68970   3   2   2  20  139    8   31    9   22
   1  116   57114   2   2   1  10   63   10   14   11   26
   1  117   44069   2   0   3   5   95    8   31    0   15
   1  118   76046   2   0   2  15   43    5   11    0   16
   1  119   90108   2   3   5  20  117   11   40   20   22
   1  120   59354   3   0   2   5   36    6   17    0   13
   1  121   55491   1   0   3  10   79    8   21    0   15
   1  122   80853   2   3   2  20   97   12   36   18   26
   1  123   60159   2   1   0   0    0    0    0    0    0
   1  124   51894   2   1   1  10  112    7    8   10   21
   1  125   62802   5   0   2  15  135   13   36    0   40
   1  126   73883   2   1   0   0    0    0    0    0    0
   1  127   60947   2   0   1   5   38    5   12    0   16
   1  128   80630   4   4   3  20  157    9   33   17   31
   1  129   41307   2   0   2   5   55    8   13    0   16
   1  130   83337   7   1   5  25  138   17   46   15   48
   1  131   53956   1   0   0   0    0    0    0    0    0
   1  132   53335   2   1   1   5   86   10   24   17   20
   1  133   65831   3   0   2  15   82   12   18    0   27
   1  134   79541   4   2   4  20  114   17   23   15   31
   1  135   62079   4   2   4  15  114   15   24   11   28
   1  136   86580   2   2   2  25   98   11   34   19   29
   1  137   53118   2   0   0   0    0    0    0    0    0
   1  138   71720   3   4   2  20  138   14   30   20   46
   1  139   80740   2   4   4  20  141   16   31   23   40
   1  140   79027   4   0   2  15   98   11   24    0   27
   1  141   87338   3   2   2  20   81    8   29   12   24
   1  142   75353   5   0   3  20  101   12   43    0   32
   2    1   54802   5   0   0   0    0    0    0    0    0
   2    2   73380   3   4   2  20  138   12   38   15   35
   2    3   59414   2   0   2  15  141    5   28    0   27
   2    4   69303   4   3   3  15  151    7   28   13   24
   2    5   72828   5   2   3  20  157   12   56    8   43
   2    6   43328   3   1   0   0    0    0    0    0    0
   2    7   45682   2   0   2  10   86   12   29    0   19
   2    8   39353   3   1   0   0    0    0    0    0    0
   2    9   61710   2   2   2  10  104    8   48   11   25
   2   10   61651   4   1   0   0    0    0    0    0    0
   2   11   64052   2   6   3  15  155    7   28   18   21
   2   12   58107   2   1   2  10  106    8   39   11   20
   2   13   70136   7   1   3  20  151   15   39   11   38
   2   14   54065   3   0   1  10   94   11   46    0   20
   2   15   42039   3   0   1   5   65    6   21    0   24
   2   16   56681   5   0   3   5   75    9   12    0   21
   2   17   54045   3   0   0   0    0    0    0    0    0
   2   18   71742   4   2   2  15  105   12   27    9   30
   2   19   79566   4   1   2  15  127   10   11    9   32
   2   20   32618   1   0   2   0   30    8    5    0   13
   2   21   59666   3   1   1  15  123   10   33   11   29
   2   22   31143   1   0   0   0    0    0    0    0    0
   2   23   35192   1   0   0   0    0    0    0    0    0
   2   24   55262   2   1   2   5   86    3   23   11   15
   2   25   89656   4   2   3  20  152   12   37   12   31
   2   26   29293   1   0   0   0    0    0    0    0    0
   2   27   67698   2   7   3  20  153   17   45   23   51
   2   28   71087   4   0   2  15  112   11   43    0   25
   2   29   39956   1   0   1   5   41    6    4    0   18
   2   30   45788   2   0   2  15   93   11   39    0   38
   2   31   51231   3   0   2   5   54    7   30    0   17
   2   32   59412   2   0   1  10  116    5   30    0   18
   2   33   54491   3   0   3  10   69    7   27    0   27
   2   34   77467   4   0   1  20  121    6   31    0   24
   2   35   78254   4   6   3  25  150   12   28   14   30
   2   36   72703   4   0   3  15  118    9   36    0   26
   2   37   52385   1   0   0   0    0    0    0    0    0
   2   38   43154   2   0   0   0    0    0    0    0    0
   2   39   36117   2   0   3   5   45    8   16    0   16
   2   40   55578   6   0   3  15  150   12   26    0   31
   2   41   67549   2   1   2  15  141    8   31   10   21
   2   42   78397   7   0   4  15  144   13   57    0   38
   2   43   61723   2   3   0   0    0    0    0    0    0
   2   44   63284   3   3   5  20  140   16   43   17   42
   2   45   46814   2   0   1  10   54    7    6    0   27
   2   46   43328   3   1   0   0    0    0    0    0    0
   2   47   71113   2   3   3  15  125   13   32   15   31
   2   48   48174   3   0   2   5   33    8    0    0   17
   2   49   25555   1   0   1   5   62   10   27    0   19
   2   50   71716   2   2   2  20  144    9   39    8   39
   2   51   68458   3   4   3  20  145   14   32   21   48
   2   52   37396   2   0   2  10   68    8   17    0   26
   2   53   70136   7   1   3  20  151   15   39   11   38
   2   54   51841   3   0   2  10   78   10   23    0   15
   2   55   57287   4   1   1  15  124    8   19    7   19
   2   56   76210   2   0   3  20  103    9   51    0   24
   2   57   51425   2   0   1   5   83    7   21    0   20
   2   58   76390   2   6   3  20  150   10   32   15   32
   2   59   57973   2   1   2  10   63    9   16    9   22
   2   60   77417   4   0   3  20   98   10   37    0   34
   2   61   59666   3   1   1  15  123   10   33   11   29
   2   62   54185   1   0   0   0    0    0    0    0    0
   2   63   49532   3   2   1   5   59   10   13   10   26
   2   64   24715   1   0   3   0   46    5   15    0   21
   2   65   55717   2   3   1  10  116    6   26    8   19
   2   66   58576   3   0   1  15  121    9   34    0   27
   2   67   64374   4   0   0   0    0    0    0    0    0
   2   68   52477   5   0   3  15  148   12   30    0   37
   2   69   60012   2   3   2  15  136    9   53   16   41
   2   70   73499  11   0   3  25  152   21   41    0   53
   2   71   38225   2   0   1  15   75   12   27    0   33
   2   72   54731   2   0   2   5   54    3   25    0   13
   2   73   60000   3   0   2  10   78    5   35    0   13
   2   74   48520   2   0   1   5   48    7   16    0   21
   2   75   71175   3   4   4  25  128   17   24   17   45
   2   76   41881   3   0   1   5  100   10   17    0   20
   2   77   52385   1   0   0   0    0    0    0    0    0
   2   78   40528   1   0   3   5   56    6   21    0   14
   2   79   49025   1   0   1  15   72    6   20    0   25
   2   80   52356   2   1   2  10   83   10   32    8   30
   2   81   93046  10   5   4  25  169   15   38   15   36
   2   82   83315   3   2   1  15  117    8   29   13   21
   2   83   61723   2   3   0   0    0    0    0    0    0
   2   84   63284   3   3   5  20  140   16   43   17   42
   2   85   52788   2   0   0   0    0    0    0    0    0
   2   86   54578   3   0   3  10   73   11   23    0   20
   2   87   66591   2   5   2  15  113   15   25   30   30
   2   88   62064   2   0   2   5   49    4   26    0   13
   2   89   96630   7   1   1  25  114   17   23   18   36
   2   90   61651   4   1   0   0    0    0    0    0    0
   2   91   90093   4   0   1  20   64   10   30    0   22
   2   92   37396   2   0   2  10   68    8   17    0   26
   2   93   65995   3   5   3  15  123   14   32   27   48
   2   94   52129   3   2   2  10   77   11   25   15   25
   2   95   44473   2   0   1  10   51    8   25    0   18
   2   96   39922   2   0   4   0   14    2    0    0    7
   2   97   34159   1   0   3   5   37    4   12    0   10
   2   98   76390   2   6   3  20  150   10   32   15   32
   2   99   57973   2   1   2  10   63    9   16    9   22
   2  100   58854   3   0   2   5   24    6    0    0   18
   2  101   57940   2   0   2   5   33    6    7    0   20
   2  102   60289   2   0   1  15   64   10    0    0   27
   2  103   35192   1   0   0   0    0    0    0    0    0
   2  104   74614   4   4   2  20  140   16   56   23   45
   2  105   99224   6   0   3  20  111   10   40    0   23
   2  106   62387   2   0   3  10  136    7   43    0   19
   2  107   64374   4   0   0   0    0    0    0    0    0
   2  108   69038   2   1   1  15  105    9   30    8   32
   2  109   53538   2   0   3   5   43    3    3    0   21
   2  110   45788   2   0   2  15   93   11   39    0   38
   2  111   53388   2   1   1  10  124    6   31    5   19
   2  112   55734   5   0   2  15  106   14   30    0   30
   2  113   46087   2   0   1   5   33    3    3    0   12
   2  114   48520   2   0   1   5   48    7   16    0   21
   2  115   61352   2   0   0   0    0    0    0    0    0
   2  116   83495   2   3   4  20  105   10   26   25   29
   2  117   76276   7   3   2  20  135    9   31    7   26
   2  118   35523   2   0   1   0   32    5    5    0   10
   2  119   43296   2   0   2  10  141    6   34    0   20
   2  120   32426   1   0   2  10   48    7    5    0   27
   2  121   40058   3   0   1   5   98    8   28    0   14
   2  122   83315   3   2   1  15  117    8   29   13   21
   2  123   54596   2   0   2  10  101   10   34    0   25
   2  124   63212   2   3   1  10  115    8   20   16   29
   2  125   59459   6   1   3  15  151   11   44    9   41
   2  126   44212   2   0   1   5   70    8   18    0   28
   2  127   71113   2   3   3  15  125   13   32   15   31
   2  128   56792   2   0   1  10   92    6   31    0   18
   2  129   96630   7   1   1  25  114   17   23   18   36
   2  130   51193   2   0   0   0    0    0    0    0    0
   2  131   65263   4   1   2  15   99   12   33    9   32
   2  132   67107   5   2   3  20  150   13   47   15   38
   2  133   83003   4   1   3  20  109   11   45    6   35
   2  134   65025   4   1   2  15  119   11   36   16   27
   2  135   45782   2   0   0   0    0    0    0    0    0
   2  136   39922   2   0   4   0   14    2    0    0    7
   2  137   44714   4   1   2  10  116   13   30   13   23
   2  138   61296   4   0   4  10   84   12   38    0   30
   2  139   76106   2   5   3  20  143   14   51   23   36
   2  140   74845   6   4   4  25  170   14   41   15   39
   2  141   67915   4   2   2  15  125   14   23   19   35
   2  142   52717   2   2   2  10  104   12   31   22   31
   2  143   55135   2   0   1   5   40    7   16    0   17
   2  144   74614   4   4   2  20  140   16   56   23   45
   2  145   99224   6   0   3  20  111   10   40    0   23
   2  146   55078   3   0   1   5   41    4   18    0   15
   2  147   78326   2   3   2  15  129    9   43   10   22
   2  148   69507   5   1   3  20  150   13   31   11   39
   2  149   46661   1   0   0   0    0    0    0    0    0
   2  150   60298   7   0   3  20  118   18   36    0   46
   2  151   38225   2   0   1  15   75   12   27    0   33
   2  152   57329   3   0   3  10   70   10   24    0   27
   2  153   46087   2   0   1   5   33    3    3    0   12
   3    1   47705   4   0   2   5   29    9    4    0   14
   3    2   60491   2   2   3   5  118    7   35   15   22
   3    3   58100   3   1   1  10   95   11   18   10   22
   3    4   65684   6   0   3  10   92   10   21    0   35
   3    5   63121   4   2   1  15  116    9   29    9   25
   3    6   61005   1   0   0   0    0    0    0    0    0
   3    7   69825   2   1   1  10  108    8   24   12   24
   3    8   68040   2   2   1  10   64   10   23    6   21
   3    9   67605   2   1   2  10   59    6   27    1   22
   3   10   49919   2   0   1   0   47    7   18    0    8
   3   11   54406   2   2   1  10  122    7   32   16   23
   3   12   74093   5   0   2  20  117   14   44    0   34
   3   13   63824   5   2   3  15  122   14   36   14   41
   3   14   64258   2   1   2  15   95   11   22    9   26
   3   15   52692   2   2   4  10  161   11   40   11   36
   3   16   64090   2   2   2  10   55    8    9    9   26
   3   17   46894   3   0   1  10   74    7   35    0   23
   3   18   66705   2   0   2  10   55    5   18    0   18
   3   19   52209   2   0   0   0    0    0    0    0    0
   3   20   21177   1   0   0   0    0    0    0    0    0
   3   21   58816   2   1   3   5   45    7   15   10   13
   3   22   65172   2   0   1  10   71    6   11    0   25
   3   23   47375   3   1   2   5   72    8   21   19   24
   3   24   37746   1   0   1  10   66    8   34    0   24
   3   25   67883   2   0   2  10   54    8   20    0   20
   3   26   66716   4   3   2  15  135   12   23   16   27
   3   27   76004   2   0   2  10   41    4   16    0   18
   3   28   56490   3   1   3  15   98   10   40   13   23
   3   29   51967   3   1   2   5  117   12   46   10   23
   3   30   79412   2   6   3  20  150    8   27   22   32
   3   31   95351   4   3   3  20  119   14   37   20   27
   3   32   76124   3   2   3  15  111   11   24   21   29
   3   33   47153   2   1   1  10  124    5   21   12   29
   3   34   79749   2   2   3  20  157   10   48   12   30
   3   35   79487   5   3   2  25  144   13   42    8   36
   3   36   51847   1   0   1   5   29    4    4    0   16
   3   37   46616   1   0   1  10   75    7   25    0   21
   3   38   79621   6   0   3  20   98   15   41    0   38
   3   39   75476  10   0   4  25  166   19   50    0   55
   3   40   69206   4   0   2  15   76   11   15    0   39
   3   41   51656   2   1   2   5   84    8    1   14   18
   3   42   46209   2   1   0   0    0    0    0    0    0
   3   43   63427   3   1   4  10   96    7   12   14   25
   3   44   58437   4   0   3  10   59   11   15    0   24
   3   45   54493   2   0   2  10   40    5   13    0   16
   3   46   67419   3   2   1  20  119   10   30    8   32
   3   47   92704   2   6   3  25  153   13   45   21   43
   3   48   57891   2   2   1  10   85    7   16   16   24
   3   49   70826   2   4   2  20  108   16   26   24   36
   3   50   72190   1   0   0   0    0    0    0    0    0
   3   51   80690   2   4   1  15  125    7   36   11   20
   3   52   79089   4   4   3  25  142   17   50   19   52
   3   53   48943   1   0   0   0    0    0    0    0    0
   3   54   85002   2   5   2  25  136   16   42   15   40
   3   55   76824   6   0   2  20  123   16   36    0   31
   3   56   53181   2   0   2   5   91    5   22    0   27
   3   57   31996   1   0   1   0   57    7   23    0   20
   3   58   55471   2   1   2  10   90   10   24   12   28
   3   59   63565   2   2   1  10  112   10   17   16   24
   3   60   68683   2   1   0   0    0    0    0    0    0
   3   61   59000   2   0   2  10   22    7    2    0    9
   3   62   93100   4   2   1  20  117   11   27   17   28
   3   63   89858  11   0   3  25  131   25   44    0   62
   3   64   44890   2   0   1  10   63    9    8    0   26
   3   65   84425   2   2   2  20  127   10   30   14   38
   3   66   58831   1   0   0   0    0    0    0    0    0
   3   67   72295   4   1   2  15  102   11   31   11   25
   3   68   65602   3   1   1  15  120   10   42   15   29
   3   69   50842   2   0   2  10   65    7   27    0   28
   3   70   57045   3   1   4  10   84   10   19    8   21
   3   71   78649   5   1   3  15  127   11   44   15   27
   3   72   57531   3   0   1  15   78   12   31    0   26
   3   73   84098   2   2   2  15   94   11   33    9   28
   3   74   48388   2   1   0   0    0    0    0    0    0
   3   75   72398   3   1   2  15   85    9   32   10   22
   3   76   50263   3   0   0   0    0    0    0    0    0
   3   77   45128   1   0   2   5   47    8   15    0   14
   3   78   65666   3   3   2  20  129   12   56   20   32
   3   79   73048   4   0   3  15   76    9   32    0   24
   3   80   87922   2   3   2  20  104   12   17   23   31
   3   81   53517   3   0   1  15   96   11   21    0   27
   3   82   49042   2   2   1  10  105   11   38   11   32
   3   83   72335   7   0   1  15   96   15   31    0   43
   3   84   66343   4   0   1  20   90    9   21    0   35
   3   85   63992   2   1   1  10   92   11   24    6   22
   3   86   83310   2   2   3  20   84   13   26   10   27
   3   87   51531   1   0   2   5   21    7    4    0    7
   3   88   75358   1   0   2  10   17    2    3    0   11
   3   89   53714   2   0   1   5   46    3   13    0   12
   3   90   52938   1   0   2  10   58   10   22    0   23
   3   91   64365   4   0   2  15   94   10   12    0   30
   3   92   57437   2   0   1  10   50    8   23    0   15
   3   93   69806   2   0   2  10   53    6   23    0   23
   3   94   68118   3   2   1  15  114   10   30   21   33
   3   95   66144   2   1   1  10  108    9   32   13   27
   3   96   55277   4   0   1  15  116    8   48    0   21
   3   97   61658   2   0   3  15   82   11   28    0   23
   3   98   43809   1   0   3   0   27    4    2    0   16
   3   99   40222   1   0   1   0   14    4    0    0    5
   3  100   59976   3   2   2  10  109    8   39    9   31
   3  101   51605   4   1   3   5   99    8   10   18   23
   3  102   60316   3   1   1  15  118   10   37   13   29
   3  103   59691   3   1   3  10   93   10   33   15   24
   3  104   71975   5   0   3  15   79   15   26    0   28
   3  105   56989   3   1   2   5   79    6   29    7   20
   3  106   70145   6   2   2  20  140   17   48   24   42
   3  107   73280   5   0   2  15  117   10   43    0   25
   3  108   45159   2   0   0   0    0    0    0    0    0
   3  109   76008   6   0   2  10   75    9   25    0   30
   3  110   63545   3   4   2  15  135   13   50   18   39
   3  111   69744   6   1   2  20  143   11   36   15   41
   3  112   42005   1   0   2   5  106    4   38    0   17
   3  113   44639   3   0   1  10   93    9   45    0   23
   3  114   55639   2   4   3  20  126   18   34   23   43
   3  115   60412   3   1   3  10  153    7   36    6   25
   3  116   59012   3   0   2  10   53    9    6    0   22
   3  117   77014   3   0   2  15   61    9    5    0   26
   3  118   55067   2   2   2  15  135   10   37    9   28
   3  119   83697   4   5   2  20  140   10   24   17   29
   3  120   75845   5   1   3  15  134   12   32   10   29
   3  121   39940   1   0   3   5   51   10   11    0   20
   3  122   76805   5   0   3  20  103   12   25    0   37
   3  123   65089   2   0   1  10   34    7    9    0   14
   3  124   32952   2   0   0   0    0    0    0    0    0
   3  125   72104   4   1   3  20  150   13   41   10   30
   3  126   61697   3   0   2  15   98   10   38    0   31
   3  127   62218   2   0   0   0    0    0    0    0    0
   3  128   75928   1   0   1  15   78    8   16    0   23
   3  129   50973   1   0   1  10   68    6   33    0   20
   3  130   52135   2   0   1  10   94    6   38    0   25
   3  131   68006   2   0   2  15  142    5   46    0   26
   3  132   40472   1   0   3   5   39    3   10    0   17
   3  133   35077   2   0   1   0   71    7   26    0   22
   3  134   84679   2   1   3  15   98    7   34   13   20
   3  135   36523   2   0   1   5  120    9   39    0   16
   4    1   72362   3   0   3  15  137    9   39    0   25
   4    2   59968   2   0   2  15   66    7   23    0   16
   4    3   98949   4   5   4  25  128   20   33   18   55
   4    4   59970   1   0   3  15   33    7    0    0   22
   4    5   72961   5   0   2  15  103   13   39    0   33
   4    6   55669   2   0   2  10   72    8   22    0   22
   4    7   45038   1   0   2   0   31    3   12    0   12
   4    8   85252   6   3   3  25  152   15   54   16   40
   4    9   41165   1   0   0   0    0    0    0    0    0
   4   10   65131   4   2   3  20  151   13   57   20   37
   4   11   67179   1   0   0   0    0    0    0    0    0
   4   12   70297   2   2   1  15  115    8   20   13   21
   4   13   79875   5   2   3  20  151   11   34   11   35
   4   14   33885   2   0   0   0    0    0    0    0    0
   4   15   43855   1   0   2   5   65    7   34    0   23
   4   16   37437   3   0   1   5   60    7   15    0   23
   4   17   52001   2   0   2  10   43    8   11    0   24
   4   18   57126   3   1   0   0    0    0    0    0    0
   4   19   42500   2   2   3   5  123   12   15   10   28
   4   20   65371   4   2   3  15  156    9   25   11   28
   4   21   56431   4   1   2  15  112   13   27   15   33
   4   22   55894   4   0   0   0    0    0    0    0    0
   4   23   27958   2   0   2   0   76    6   20    0   25
   4   24   45254   4   0   1   5   77   10   29    0   22
   4   25   33940   1   0   1   5   52    7   10    0   19
   4   26   22955   1   0   2   0   22    4    0    0   11
   4   27   82031   2   2   1  20  109   11   44   10   29
   4   28   64461   2   0   2  10   58    7   15    0   16
   4   29   64268   2   2   2  15  135    8   37    7   20
   4   30   69950   1   0   2   5   31    2   10    0    8
   4   31   43449   2   1   2  15  137   12   34    7   29
   4   32   56991   2   0   3  10  125    6   24    0   28
   4   33   64083   5   0   2  15   87   13   28    0   33
   4   34   58677   5   0   2  10  142    8   33    0   28
   4   35   63290   9   0   3  20  115   16   44    0   51
   4   36   54983   2   3   0   0    0    0    0    0    0
   4   37   56511   5   0   3  10  122   10   22    0   30
   4   38   48503   2   2   1  10  104   13   20   13   36
   4   39   37834   2   0   3   0   35    7   13    0   14
   4   40   45945   3   0   2   5   36    4    4    0   17
   4   41   62245   2   6   3  20  152    9   37   15   32
   4   42   41074   2   0   2  10   64   10   14    0   24
   4   43   77320   5   3   2  25  142   14   19   16   44
   4   44   50803   1   0   3   5   51    5    5    0   19
   4   45   50262   2   2   2  15  139   10   45    9   29
   4   46   75614   2   6   4  20  164   14   21   22   45
   4   47   76400   3   0   1  15   89    6   27    0   21
   4   48   63928   2   4   2  15  138    9   22   12   28
   4   49   60326   2   4   2  20  139   14   38   15   34
   4   50   65297   2   0   2  10   65   10   23    0   19
   4   51   70140   9   1   2  20  142   14   44   12   49
   4   52   65465   3   3   2  20  134    8   27   14   28
   4   53   60091   2   0   2  10   54    7   16    0   18
   4   54   67278   4   2   4  10  111    8   55   13   30
   4   55   88715   8   5   3  25  158   17   60   15   48
   4   56   66982   3   2   1  20  116   10   28    8   25
   4   57   55097   2   5   1  15  117   11   44   11   27
   4   58   62216   4   6   2  10  143   12   33   16   29
   4   59   63906   5   0   1  10  101    9   31    0   29
   4   60   74186   8   2   2  25  145   16   49    5   36
   4   61   23940   1   0   1   5   45    9    7    0   15
   4   62   56519   5   0   2  15   67   15   13    0   37
   4   63   74557   3   0   2  10   54    6   23    0   23
   4   64   51284   3   0   0   0    0    0    0    0    0
   4   65   53253   3   1   1   5  121    9   26   10   20
   4   66   38228   1   0   0   0    0    0    0    0    0
   4   67   20536   1   0   0   0    0    0    0    0    0
   4   68   54030   3   1   2   5   91    8   14   13   18
   4   69   86432   6   0   3  20   63   10   19    0   28
   4   70   79528   5   6   4  20  171   16   33   23   48
   4   71   75560   4   0   2  20  101   10   49    0   27
   4   72   68513   6   0   3  15  105   13   46    0   36
   4   73   48385   2   1   2  10   78    8   12   18   25
   4   74   79885   5   5   3  20  154   12   36   12   37
   4   75   64511   3   1   0   0    0    0    0    0    0
   4   76   23296   2   0   1   5   75   11   26    0   25
   4   77   55499   2   1   2  10   71   10   12    2   16
   4   78   74651   3   0   2  10   67    7    9    0   14
   4   79   43001   1   0   1   5   63    5   17    0   12
   4   80   48529   2   5   3  15  149   12   51   11   31
   4   81   78160   4   7   4  20  162   19   58   30   50
   4   82   66335   3   0   4  15  104   10   50    0   31
   4   83   59647   3   1   2  15  140    9   35   12   17
   4   84   71867   2   0   1  10   72    6   23    0   18
   4   85   40252   1   0   1   5   60    7   13    0   23
   4   86   66222   3   5   2  15  143   10   50   25   36
   4   87   75635   4   2   3  20  126   14   18   20   35
   4   88   55029   3   0   4  15  104   10   17    0   28
   4   89   63369   5   0   3  10   85    7   51    0   25
   4   90   78973   4   2   2  15   98   14   14   11   35
   4   91   69831   2   3   3  15  150   13   37   19   41
   4   92   35536   1   0   1   5   52    8   17    0   19
   4   93   41267   4   1   1  10   96   11   45    8   26
   4   94   68594   2   5   3  15  137   13   36   30   29
   4   95   70850   2   0   1  15  122    7   52    0   24
   4   96   60887   2   4   2  20  129   16   31   22   36
   4   97   66953   5   1   3  20  121   15   46    8   46
   4   98   72797   3   2   1  25  116   13   34    7   33
   4   99   64372   3   1   2  15  135   10   20   11   31
   4  100   55132   2   0   4  10   79    8   33    0   21
   4  101   46081   5   0   2  10   66   11   27    0   25
   4  102   39579   2   1   2   5  112    9   26   10   30
   4  103   53032   2   0   2  10   73    9   32    0   17
   4  104   79111   3   0   1  15   52    7    9    0   26
   4  105   46005   2   2   2   5   84   11   23   15   23
   4  106   71345   2   1   2  10   65    9   16   18   19
